"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"3D9.1C2C86B391","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","11/18/2009 10:06:00 AM","NA","0","LEMHIW","11/18/2009 10:30:00 AM","102","11.6","1"
"3D9.1C2C86BB02","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","11/9/2009 9:30:00 AM","NA","0","LEMHIW","11/9/2009 9:57:00 AM","85","8","1"
"3D9.1C2C86CDEE","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","11/22/2009 7:52:00 AM","NA","0","LEMHIW","11/22/2009 8:09:00 AM","110","14.6","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","9/28/2009 12:16:00 PM","NA","0","LEMHIW","9/28/2009 3:05:00 PM","122","22","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","BCC","5/7/2010 11:02:20 AM","01","100","","","","","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","BCC","5/7/2010 11:02:21 AM","01","100","","","","","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/22/2010 9:15:49 PM","A1","140","","","","","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/22/2010 9:15:49 PM","A2","140","","","","","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/22/2010 9:16:08 PM","11","140","","","","","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/22/2010 9:16:09 PM","12","140","","","","","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/22/2010 9:16:17 PM","81","140","","","","","1"
"3D9.1C2C87058D","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/22/2010 9:16:17 PM","82","140","","","","","1"
"3D9.1C2C870B0D","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/14/2009 10:25:00 AM","NA","0","LEMHIW","10/14/2009 11:40:00 AM","101","12.1","1"
"3D9.1C2C870B0D","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/15/2009 12:11:00 PM","NA","0","LEMHIR","10/15/2009 12:45:00 PM","","","1"
"3D9.1C2C870B0F","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/12/2009 12:54:00 PM","NA","0","LEMHIW","10/12/2009 2:41:00 PM","110","14.6","1"
"3D9.1C2C870B0F","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","LEMHIW","10/13/2009 9:51:00 AM","NA","0","LEMHIW","10/13/2009 11:24:00 AM","","","1"
"3D9.1C2C870E04","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/1/2009 10:05:00 AM","NA","0","LEMHIW","10/1/2009 11:50:00 AM","120","22.5","1"
"3D9.1C2C870E04","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","11/7/2009 12:42:00 PM","NA","0","LEMHIR","11/7/2009 1:10:00 PM","","","1"
"3D9.1C2C870E2B","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/2/2009 10:23:00 AM","NA","0","LEMHIW","10/2/2009 11:08:00 AM","119","21.8","1"
