"Tag Code","Mark Species Name","Event Type Name","Event Site Name","Event Site Code Value","Event Site Info Name","Event Site Info Code","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D3840B4","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","10/12/2010 9:19:00 AM","NA","0","LEMHIR","10/12/2010 2:08:00 PM","1"
"3D9.1C2D384CF9","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","10/7/2010 11:54:00 AM","NA","0","LEMHIR","10/7/2010 4:27:00 PM","1"
"3D9.1C2D385572","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","10/13/2010 10:38:00 AM","NA","0","LEMHIR","10/13/2010 1:54:00 PM","1"
"3D9.1C2D48C22F","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","9/14/2010 12:35:00 PM","NA","0","LEMHIR","9/14/2010 6:36:00 PM","1"
"3D9.1C2D48C3DE","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","10/7/2010 11:54:00 AM","NA","0","LEMHIR","10/7/2010 4:27:00 PM","1"
"3D9.1C2D48C963","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","10/7/2010 11:54:00 AM","NA","0","LEMHIR","10/7/2010 4:27:00 PM","1"
"3D9.1C2D48DB8D","Chinook","Mark","LEMHIR - Lemhi River","LEMHIR","Lemhi River","LEMHIR","7/15/2010 6:47:00 AM","NA","0","LEMHIR","7/15/2010 1:31:00 PM","1"
"3D9.1C2D48DB8D","Chinook","Observation","BCC - BON PH2 Corner Collector","BCC","BON PH2 Corner Collector","BCC","5/7/2011 7:58:59 AM","01","100","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/24/2011 11:10:00 PM","01","150","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/24/2011 11:10:02 PM","02","150","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/24/2011 11:10:05 PM","03","150","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","GOJ - Little Goose Dam Juvenile","GOJ","Little Goose Dam Juvenile","GOJ","4/24/2011 11:10:07 PM","04","150","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:21:09 AM","01","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:21:13 AM","02","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:21:15 AM","03","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:21:19 AM","04","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:24:51 AM","A1","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:24:52 AM","A2","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:24:52 AM","A3","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:24:52 AM","A4","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:25:01 AM","C1","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:25:01 AM","C2","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:25:01 AM","C3","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:25:02 AM","C4","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:25:27 AM","91","160","","","1"
"3D9.1C2D48DB8D","Chinook","Observation","MCJ - McNary Dam Juvenile","MCJ","McNary Dam Juvenile","MCJ","5/1/2011 4:25:27 AM","92","160","","","1"
