"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","Event Length mm","Event Weight g","CTH Count"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/15/2021 10:11:48 AM","NA","0","HAYDNC","9/15/2021 10:11:48 AM","78","5.6","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2022 11:58:40 PM","01","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2022 11:58:44 PM","02","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2022 11:58:47 PM","03","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2022 11:58:48 PM","03","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2022 11:58:51 PM","04","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2022 11:58:52 PM","04","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/5/2022 12:00:18 AM","A1","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/5/2022 12:00:19 AM","A2","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/5/2022 12:00:19 AM","A3","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/5/2022 12:00:21 AM","A4","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/5/2022 12:00:29 AM","81","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/5/2022 12:00:29 AM","82","150","","","","","1"
"3D9.1C2DEE9EE5","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","5/10/2022 1:56:22 AM","02","120","","","","","1"
